numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200623990E;Littératures et cultures de l’enfance (Isabelle DE PERETTI);;2006;Equipe interne;1;1;http://textesetcultures.univ-artois.fr/presentation-des-equipes-internes/litteratures-et-cultures-de-l-enfance;;;;De Peretti;Isabelle;DIR;;Université Artois;ARTOIS;UNIV;Université;0623957P;19624401600016;TUTE;établissement tutelle;;200615279L;;;;;6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200623990E&PUBLIC=OK
202124060R;Laboratoire Matière en Conditions Extrêmes;LMCE;2021;Unité propre;21;2;;CEA;91680;Bruyères-le-Châtel;CHERFILS;Catherine;DIR;";";"Commissariat à l'énergie atomique et aux énergies alternatives;Université Paris-Saclay";"CEA;U PARIS-SACLAY";"EPIC;UNIV";"Organismes de type EPIC;Université";"0912281K;0912408Y";"77568501900587;13002602400013";"TUTE;PART";"établissement tutelle;établissement participant";;;;;;;"2;8";"Physique;Sciences pour l'ingénieur";PE2;Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202124060R&PUBLIC=OK
201822765W;Arts/Langues : Transitions et Relations;ALTER;2018;Unité propre;21;2;https://alter.univ-pau.fr;Avenue du Doyen Poplawski;64013;PAU cedex;LAPLACE CLAVERIE;Hélène;Directrice;EA 7504;Université Pau et Pays de l'Adour;PAU;UNIV;Université;0640251A;19640251500270;TUTE;établissement tutelle;;;"199513634W;199513635X;199914320Z";"fusion;fusion;fusion";"F;F;F";"2018;2018;2018";6;Sciences humaines et humanités;SH5;Cultures and cultural production : literature, visual and performing arts, music, cultural and comparative studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822765W&PUBLIC=OK
201822682F;Laboratoire d'Innovation Moléculaire et Applications (LIMA);UMR 7042;2018;Unité mixte;22;2;http://lima.unistra.fr/;Bât. R2 N2 -  25 Rue BECQUEREL;67087;STRASBOURG;"LEROUX;GODDARD";"Frédéric;Jean-Philippe";"DIR;DIR-ADJ";"UMR 7042;UMR 7042;";"Université Haute Alsace Mulhouse;Centre national de la recherche scientifique;Université Strasbourg";"MULHOUSE;CNRS;U. STRASBOURG";"UNIV;EPST;UNIV";"Université;Organismes de type EPST;Université";"0681166Y;0753639Y;0673021V";"19681166500013;18008901303720;13000545700010";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";;;"199712575L;201119494W";"fusion;fusion";"F;F";"2018;2018";"4;5";"Chimie;Biologie, médecine et santé";"PE5;PE4";"Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822682F&PUBLIC=OK
202023521J;Centre Borelli;CB;2020;Unité mixte;22;2;https://www.centreborelli.fr/.;ECOLE NORMALE SUPERIEURE PARIS-SACLAY 4 avenue des sciences, 91190 Gif-sur-Yvette;91190;GIF SUR YVETTE;VAYATIS;Nicolas;DIR;"UMR 9010;UMR 9010;;;UMR 9010";"Ecole normale supérieure Paris-Saclay;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Ministère de la défense;Université de Paris";"ENS Paris-Saclay;CNRS;INSERM;MIN.DEF.;U PARIS";"AUT_ETAB;EPST;EPST;AUT_OP_FR;UNIV";"Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Autre opérateur de droit français;Université";"0912423P;0753639Y;0755364Y;;0755976N";"19940607500010;18008901303720;18003604800015;11009001600012;13002573700011";"TUTE;TUTE;PART;PART;PART";"établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant";;;"201420757F;199812864W";"fusion;fusion";"F;F";"2020;2020";1;Mathématiques et leurs interactions;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023521J&PUBLIC=OK
202023526P;Laboratoire Aimé Cotton;LAC;2020;Unité mixte;22;2;;UNIV PARIS-SACLAY - Bâtiment 505;91405;ORSAY CEDEX;DULIEU;Olivier;DIR;"FRE 2038;";"Centre national de la recherche scientifique;Université Paris-Saclay";"CNRS;U PARIS-SACLAY";"EPST;UNIV";"Organismes de type EPST;Université";"0753639Y;0912408Y";"18008901303720;13002602400013";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;199217581Z;éclatement - fusion;EF;2020;2;Physique;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023526P&PUBLIC=OK
202023537B;Unité à 5 ans Anthropologie et Ecologie de l’Emergence des Maladies;;2020;Unité propre;21;2;https://research.pasteur.fr/en/team/anthropology-and-ecology-of-disease-emergence/;Institut Pasteur, 25-28 rue du Docteur Roux;75724;Paris Cedex 15;GILES-VERNICK;Tamara;DIR;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;201923234B;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023537B&PUBLIC=OK
202023542G;Unité Imagerie Structurale;;2019;Unité propre;21;2;https://research.pasteur.fr/en/team/structural-image-analysis/;Institut Pasteur, 25-28 rue du Docteur Roux;75724;Paris Cedex 15;VOLKMANN;Niels;DIR;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;200621927M;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023542G&PUBLIC=OK
202023544J;Modèles et algorithmes pour l’intelligence artificielle;MAASAI;2020;Unité propre;21;2;http://www.inria.fr/equipes/maasai;;06902;Sophia Antipolis;Bouveyron;Charles;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;"201220432L;198318250R;201220430J";;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023544J&PUBLIC=OK
202023547M;Direction de la Recherche et de l'Innovation de l' AP-HP;DRCI;2020;Unité propre;21;2;http://recherche-innovation.aphp.fr/;Carré Historique de l'Hôpital Saint -Louis 1 avenue Claude Vellefaux 75475;75010;Paris;Favrel- Feuillade;Florence;DIR;;Assistance Publique des Hôpitaux de Paris;AP-HP;MEDIC;Etablissements de santé;;26750045200011;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023547M&PUBLIC=OK
201723548B;Laboratoire commun Institut Pasteur-Theravectys;;2017;Unité mixte;22;2;;Institut Pasteur, 25-28 rue du Dr Roux;75724;Paris Cedex 15;CHARNEAU;Pierre;DIR;";";"Institut Pasteur;THERAVECTYS";"INSTITUT PASTEUR;THERAVECTYS";"FONDATION;PRIVE";"Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);Société de droit privé française";"0755366A;";"77568489700017;48232428200029";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201723548B&PUBLIC=OK
200515263Y;LABORATOIRE D'ÉTUDES ET DE RECHERCHES SUR LES LOGIQUES CONTEMPORAINES DE LA PHILOSOPHIE;EA4008;2005;Unité propre;21;2;http://www.llcp.univ-paris8.fr/;Paris 8Département de philosophie2, rue de la Liberté;93526;SAINT-DENIS CEDEX;"CASSOU-NOGUES;KISUKIDI";"Pierre;Yala";"Directeur;Directrice adjointe";EA 4008;Université Vincennes-Saint Denis Paris 8;PARIS 8;UNIV;Université;0931827F;19931827000014;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;"SH4;SH5";"The Human Mind and its complexity : cognition, psychology, linguistics, philosophy and education;Cultures and cultural production : literature, visual and performing arts, music, cultural and comparative studies";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200515263Y&PUBLIC=OK
201422900K;Centre de Ressources Biologiques - Bordeaux Biothèques Santé;CRB-BBS;2014;Equipe interne;1;1;;;;;PELLEGRIN;Isabelle;;;CHU Hôpitaux de Bordeaux;CHU BORDEAUX;MEDIC;Etablissements de santé;;26330582300019;TUTE;établissement tutelle;;;;;;;;;LS3;Cellular and Developmental Biology : cell biology, cell physiology, signal transduction, organogenesis, developmental genetics, pattern formation in plants and animals;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201422900K&PUBLIC=OK
201622170H;Bordeaux Population Health Research Center;BPH;2016;Unité mixte;22;2;https://www.bordeaux-population-health.center;UNIVERSITE DE BORDEAUX, 146 RUE LEO SAIGNAT;33076;BORDEAUX cedex;TZOURIO;Christophe;DR;"U 1219;UMR_S 1219";"Institut national de la sante et de la recherche medicale;Université de Bordeaux";"INSERM;BORDEAUX";"EPST;UNIV";"Organismes de type EPST;Université";"0755364Y;0333298F";"18003604800015;13001835100010";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;"201320677Y;200516347B";"fusion;fusion";"F;F";"2016;2016";5;Biologie, médecine et santé;LS7;Diagnostic tools, therapies and public health : aetiology, diagnosis and treatment of disease, public health, epidemiology, pharmacology, clinical medicine, regenerative medicine, medical ethics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622170H&PUBLIC=OK
201019064H;Récepteurs Nucléaires, Maladies Métaboliques et Cardiovasculaires;U1011;2010;Unité mixte;22;2;https://u1011.pasteur-lille.fr/;INSTITUT PASTEUR de LILLE - 1 RUE DU PROFESSEUR CALMETTE - BP 245;59019;LILLE;STAELS;Bart;DIR;"U 1011;U 1011;U 1011;U 1011";"Institut national de la sante et de la recherche medicale;Institut Pasteur de Lille;Université de Lille;Centre Hospitalier Universitaire de Lille";"INSERM;INST PASTEUR LILLE;LILLE;CHUL";"EPST;FONDATION;UNIV;MEDIC";"Organismes de type EPST;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);Université;Etablissements de santé";"0755364Y;0596852C;0597065J;";"18003604800015;78369683400010;13002358300011;26590671900017";"TUTE;TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle";"202023801N;201523798G;201023800F;201023799E;201023797C";;;;;;5;Biologie, médecine et santé;"LS3;LS2;LS4;LS6";"Cellular and Developmental Biology : cell biology, cell physiology, signal transduction, organogenesis, developmental genetics, pattern formation in plants and animals;Genetics, Genomics, Bioinformatics and Systems Biology : genetics, population genetics, molecular genetics, genomics, transcriptomics, proteomics, metabolomics, bioinformatics, computational biology, biostatistics, biological modelling and simulation, sys;Physiology, Pathophysiology and Endocrinology : organ physiology, pathophysiology, endocrinology, metabolism, ageing, regeneration, tumorigenesis, cardiovascular disease, metabolic syndrome;Immunity and infection : immunobiology, aetiology of immune disorders, microbiology, virology, parasitology, global and other infectious diseases, population dynamics of infectious diseases, veterinary medicine";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019064H&PUBLIC=OK
201220195D;XLIM;XLIM;2012;Unité mixte;22;2;http://www.xlim.fr;Faculté des sciences -  123 Avenue Albert Thomas;87060;LIMOGES CEDEX;"MERILLOU;BILA";"Stéphane;Stéphane";"DIR-ADJ;DIR";"UMR 7252;UMR 7252;UMR 7252";"Université Limoges;Centre national de la recherche scientifique;Université Poitiers";"LIMOGES;CNRS;POITIERS";"UNIV;EPST;UNIV";"Université;Organismes de type EPST;Université";"0870669E;0753639Y;0860856N";"19870669900321;18008901303720;19860856400375";"TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement participant";"201622930J;201622929H;201622928G;201622927F;201622926E;201622925D";;;;;;"1;9";"Mathématiques et leurs interactions;Sciences et technologies de l'information et de la communication";"PE1;PE7;PE9;PE6";"Mathematical foundations : all areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;Systems and communication engineering : electronic, communication, optical and systems engineering;Universe sciences : astro-physics/chemistry/biology;solar system;stellar, galactic and extragalactic astronomy, planetary systems, cosmology;space science, instrumentation;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220195D&PUBLIC=OK
201420830K;INSTITUT DES SCIENCES DU SPORT-SANTE DE PARIS;I3SP;2014;Unité propre;21;2;https://i3sp.recherche.parisdescartes.fr/;UFR STAPS PARIS DESCARTES - 1, rue LACRETELLE;75015;PARIS;ANDRIEU;Bernard;DIR;EA 3625;Université de Paris;U PARIS;UNIV;Université;0755976N;13002573700011;TUTE;établissement tutelle;;;200214899R;éclatement - fusion;EF;2014;"5;6";"Biologie, médecine et santé;Sciences humaines et humanités";"SH5;SH2";"Cultures and cultural production : literature, visual and performing arts, music, cultural and comparative studies;Institutions, values, beliefs and behaviour : sociology, social anthropology, political science, law, communication, social studies of science and technology";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201420830K&PUBLIC=OK
196617964D;Biostatistique et Processus Spatiaux;BioSP;1966;Unité propre;21;2;http://www.avignon.inra.fr/les_recherches__1/liste_des_unites/biostatistique_et_processus_spatiaux;228  route de l'Aérodrome CS40509;84914;Avignon;"SOUBEYRAND;ROQUES";"Samuel;Lionel";"Directeur;Directeur Adjoint";UR 0546;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;INRAE;EPST;Organismes de type EPST;;18007003901803;TUTE;établissement tutelle;200417734N;;;;;;"1;10";"Mathématiques et leurs interactions;Sciences agronomiques et écologiques";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=196617964D&PUBLIC=OK
200617697P;Fondation Pierre-Gilles De Gennes pour la Recherche;FRTV;2006;Réseau thématique de recherche avancée;8;3;http://www.fondation-pgg.org;;75056;Paris;"RUBINSTENN;CUMIN";"Gilles;Corinne";"DIR;SG";";;;;";"Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris;Ecole Normale Supérieure Paris;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Université Paris sciences et lettres";"ESPCI PARIS;ENS PARIS;CNRS;INSERM;PSL";"AUT_ETAB;AUT_ETAB;EPST;EPST;UNIV";"Autres établissements ESR;Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Université";"0753429V;0753455Y;0753639Y;0755364Y;0756036D";"20000068500012;19753459700012;18008901303720;18003604800015;13002614900018";"TUTE;TUTE;TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle";;;;;;;2;Physique;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200617697P&PUBLIC=OK
200823006B;Equations aux Dérivées Partielles et Analyse Numérique;EDPAN;2008;Equipe interne;1;1;http://math.univ-bpclermont.fr/;3 place Vasarely - TSA 60026;63178;Aubière Cedex;MUNCH;Arnaud;Directeur;;Université Clermont Auvergne;CLERMONT AUVERGNE;UNIV;Université;0632035V;13002277500014;TUTE;établissement tutelle;;199112391M;;;;;1;Mathématiques et leurs interactions;PE1;Mathematical foundations : all areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200823006B&PUBLIC=OK
201723038X;Régulation épigénétique et hématoïèse;;2017;Equipe interne;1;1;http://http:/www.gred-clermont.fr;28 place Henri Dunant - BP 38;63000;Clermont-Ferrand;WALTZER;Lucas;Directeur;;Université Clermont Auvergne;CLERMONT AUVERGNE;UNIV;Université;0632035V;13002277500014;TUTE;établissement tutelle;;200820390H;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201723038X&PUBLIC=OK
201723067D;Interactions dans les réseaux trophiques aquatiques;IRTA;2017;Equipe interne;1;1;;Campus des Cézeaux, 1 impasse Amélie Murat - CS 60026;63178;Aubière Cedex;DESVILETTES;Christian;Directeur;;Université Clermont Auvergne;CLERMONT AUVERGNE;UNIV;Université;0632035V;13002277500014;TUTE;établissement tutelle;;200012122F;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201723067D&PUBLIC=OK
201723071H;PSE énergie;;2017;Equipe interne;1;1;;4 Avenue  Blaise Pascal - CS 60026;63178;Aubière Cedex;ANDRE;Pascal;;;Université Clermont Auvergne;CLERMONT AUVERGNE;UNIV;Université;0632035V;13002277500014;TUTE;établissement tutelle;;197412323M;;;;;"2;3;5";"Physique;Sciences de la terre et de l'univers, espace;Biologie, médecine et santé";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201723071H&PUBLIC=OK
201523099X;Axe 1 : CISESS;;2015;Equipe interne;1;1;http://communication-societes.uca.fr/;34 avenue Carnot;63000;Clermont-Ferrand;BOURGNE;Patrick;Responsable;;Université Clermont Auvergne;CLERMONT AUVERGNE;UNIV;Université;0632035V;13002277500014;TUTE;établissement tutelle;;201220068R;;;;;6;Sciences humaines et humanités;SH5;Cultures and cultural production : literature, visual and performing arts, music, cultural and comparative studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201523099X&PUBLIC=OK
201822820F;Plate-Forme Technologique Cytométrie;;2018;Unité propre;21;2;https://research.pasteur.fr/en/team/cytometry/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;;;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;201722530V;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822820F&PUBLIC=OK
201522830E;Equipe de recherche en Radiobiologie et Radiothérapie préclinique et translationnelle;;2015;Equipe interne;1;1;;CGFL / 1 rue du Pr Marion;21079;DIJON;Mirjolet;Céline;;;Centre Georges-François Leclerc;CGFL;MEDIC;Etablissements de santé;;77820427100010;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;LS7;Diagnostic tools, therapies and public health : aetiology, diagnosis and treatment of disease, public health, epidemiology, pharmacology, clinical medicine, regenerative medicine, medical ethics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201522830E&PUBLIC=OK
202023576U;BIOLOGIE DES ARN, SIGNALISATION ET CANCER;;2020;Unité propre;21;2;;Institut Curie-Université Paris Sud;91405;Orsay;Vagner;Stephan;DIR;U 1278;Institut national de la sante et de la recherche medicale;INSERM;EPST;Organismes de type EPST;0755364Y;18003604800015;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023576U&PUBLIC=OK
201923132R;Pôle Rein, Hypertension artérielle, Endocrinologie métabolique, Brûlés;;2019;Equipe interne;1;1;;;;;AVIGNON;Antoine;;;Centre hospitalier universitaire de Montpellier;CHUM;MEDIC;Etablissements de santé;;26340016000382;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;LS4;Physiology, Pathophysiology and Endocrinology : organ physiology, pathophysiology, endocrinology, metabolism, ageing, regeneration, tumorigenesis, cardiovascular disease, metabolic syndrome;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923132R&PUBLIC=OK
201923136V;Unité Interactions Virus-Insectes;;2019;Unité propre;21;2;https://research.pasteur.fr/en/team/insect-virus-interactions/;Institut Pasteur, 25-28 rue du Docteur Roux;75724;Paris Cedex 15;LAMBRECHTS;Louis;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;"200621937Y;200621928N;201119730C";201321601C;renouvellement;R;2019;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923136V&PUBLIC=OK
201923153N;Plateforme de Transgénèse du Blé;ValFon;2019;Equipe interne;1;1;;5 chemin de Beaulieu;63000;Clermont-Ferrand;BARRET;Pierre;Responsable;;Université Clermont Auvergne;CLERMONT AUVERGNE;UNIV;Université;0632035V;13002277500014;TUTE;établissement tutelle;;200017467R;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923153N&PUBLIC=OK
201923174L;Centre de Calcul Régional ROMEO;ROMEO;2019;Unité propre;21;2;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923174L&PUBLIC=OK;UFR Sciences Exactes et Naturelles - Moulin de la Housse - BP 1039;51687;Reims Cedex 2.;RENARD;Arnaud;;;Université Reims Champagne-Ardenne;REIMS;UNIV;Université;0511296G;19511296600435;TUTE;établissement tutelle;;;;;;;9;Sciences et technologies de l'information et de la communication;PE6;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923174L&PUBLIC=OK
200319327Z;Laboratoire Traitement et Communication de l'Information;LTCI;2003;Unité propre;21;2;https://ltci.telecom-paristech.fr/;19 place Marguerite Perey;91120;Palaiseau;ABDESSALEM;Talel;DIR;";";"Telecom ParisTech;Institut polytechnique de Paris";"TELECOM PARISTECH;IP PARIS";"AUT_ETAB;AUT_ETAB";"Autres établissements ESR;Autres établissements ESR";"0753510H;0912403T";"18009202500022;13002562000019";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;9;Sciences et technologies de l'information et de la communication;"PE6;PE7";"Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;Systems and communication engineering : electronic, communication, optical and systems engineering";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200319327Z&PUBLIC=OK
202023612H;Direction de la recherche clinique;DRC;2020;Equipe interne;1;1;;CHU de Poitiers - 2 rue de la Milétrie;86021;POITIERS;COSTA;Hélène;DIR;;Centre Hospitalier Universitaire de Poitiers;CHU Poitiers;MEDIC;Etablissements de santé;;20005535800010;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;"LS5;LS4;LS6;LS2;LS7;LS3";"Neurosciences and neural disorders : neurobiology, neuroanatomy, neurophysiology, neurochemistry, neuropharmacology, neuroimaging, systems neuroscience, neurological disorders, psychiatry;Physiology, Pathophysiology and Endocrinology : organ physiology, pathophysiology, endocrinology, metabolism, ageing, regeneration, tumorigenesis, cardiovascular disease, metabolic syndrome;Immunity and infection : immunobiology, aetiology of immune disorders, microbiology, virology, parasitology, global and other infectious diseases, population dynamics of infectious diseases, veterinary medicine;Genetics, Genomics, Bioinformatics and Systems Biology : genetics, population genetics, molecular genetics, genomics, transcriptomics, proteomics, metabolomics, bioinformatics, computational biology, biostatistics, biological modelling and simulation, sys;Diagnostic tools, therapies and public health : aetiology, diagnosis and treatment of disease, public health, epidemiology, pharmacology, clinical medicine, regenerative medicine, medical ethics;Cellular and Developmental Biology : cell biology, cell physiology, signal transduction, organogenesis, developmental genetics, pattern formation in plants and animals";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023612H&PUBLIC=OK
201923192F;Performances, Sports, Santé, Société;;2019;Unité propre;21;2;;BP 52;20250;CORTE;BROUSSOULOX;Olivier;;;Université Pascal Paoli Corse;CORSE;UNIV;Université;7200664J;19202664900017;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923192F&PUBLIC=OK
201119493V;LABORATOIRE DE PHOTOCHIMIE ET D'INGENIERIE MACROMOLECULAIRES (LPIM) - UR 4567;LPIM;2011;Unité propre;21;2;http://www.lpim.uha.fr;Université de Haute-Alsace, 3 Rue Alfred Werner;68093;Mulhouse cedex;"ALLONAS;ALLONAS";"Xavier;XAVIER";"DIR;";UR 4567;Université Haute Alsace Mulhouse;MULHOUSE;UNIV;Université;0681166Y;19681166500013;TUTE;établissement tutelle;;;;;;;4;Chimie;"PE4;PE5";"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119493V&PUBLIC=OK
201923618U;Equipe IdA - Code Neural dans le Système Auditif;;2019;Equipe interne;1;1;;;;;BARRAL;Jérémie;DIR;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;201923617T;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923618U&PUBLIC=OK
201923622Y;Equipe IdA - Technologies Innovantes et Thérapies pour la Surdité;;2019;Equipe interne;1;1;;;;;"SAFIEDDINE;NGUYEN";"Saaid;Yann";"DIR;";;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;201923617T;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923622Y&PUBLIC=OK
199323262V;Délégation à la Recherche Clinique et à l'Innovation CHU de Nice;DRCI;1993;Unité propre;21;2;;Hôpital de Cimiez - 4 avenue Reine Victoria;06000;Nice;MONCH;Eric;;;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;CHUN;MEDIC;Etablissements de santé;;26060070500040;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199323262V&PUBLIC=OK
201923341T;DMU APHP.Sorbonne :Oncologie Radiothérapie Soins Palliatifs Hématologie Clinique;DMU ORPHé;2019;Equipe interne;1;1;;;;;MAINGON;Philippe;;;Assistance Publique des Hôpitaux de Paris;AP-HP;MEDIC;Etablissements de santé;;26750045200011;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923341T&PUBLIC=OK
201923345X;DMU APHP.Sorbonne : Spécialités Abdomino-PElviennes et Rénales de l’Adulte et de l’Enfant;DMU SAPERE;2019;Equipe interne;1;1;;;;;MENEGAUX;Fabrice;;;Assistance Publique des Hôpitaux de Paris;AP-HP;MEDIC;Etablissements de santé;;26750045200011;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923345X&PUBLIC=OK
